fpl_player_id,opta_code,player_name,web_name,club,position,minutes,starts,goals,assists,xg,xa,xg_p90,xa_p90,expected_goal_involvements,expected_goal_involvements_p90,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,influence,creativity,threat,form,selected_by_percent,now_cost,status,source_provider
447,p220237,Sven Botman,Botman,Newcastle,Defender,270,3,0.0,0.0,0.01,0.17,0.0,0.06,0.18,0.06,22,9,2,24,69.6,3.0,6.0,2.2,0.7,5.0,a,fpl
450,p441191,Tino Livramento,Livramento,Newcastle,Defender,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.2,0.0,0.0,0.2,0.1,4.9,a,fpl
634,p613221,Matias Fernandez-Pardo,Fernandez-Pardo,Newcastle,Forward,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0.0,0.8,6.0,0.5,0.1,6.0,a,fpl
463,p470313,Nick Woltemade,Woltemade,Newcastle,Forward,19,0,0.0,1.0,0.02,0.01,0.09,0.05,0.03,0.14,0,0,0,0,18.2,10.5,11.0,1.0,0.6,5.9,u,fpl
466,p599303,Sean Neave,Neave,Newcastle,Forward,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.6,4.5,u,fpl
465,p538207,William Osula,Osula,Newcastle,Forward,55,1,0.0,1.0,0.06,0.14,0.1,0.23,0.2,0.33,2,2,1,5,28.2,13.7,8.0,1.0,0.4,5.9,i,fpl
464,p216646,Yoane Wissa,Wissa,Newcastle,Forward,261,3,1.0,1.0,1.35,0.05,0.47,0.02,1.4,0.49,2,10,5,17,55.6,33.9,74.0,3.2,18.6,6.2,a,fpl
444,p554578,Ewen Jaouen,Jaouen,Newcastle,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.5,d,fpl
567,p470551,Lukás Hornícek,Horníček,Newcastle,Goalkeeper,270,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,15,0,0,109.2,0.0,0.0,2.5,1.5,5.0,a,fpl
443,p81441,Mark Gillespie,Gillespie,Newcastle,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.5,a,fpl
442,p98747,Nick Pope,Pope,Newcastle,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.9,a,fpl
559,p632794,Aladji Bamba,Bamba,Newcastle,Midfielder,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2,4.0,0.0,0.0,0.2,0.1,4.9,a,fpl
454,p449434,Anthony Elanga,Elanga,Newcastle,Midfielder,232,3,2.0,0.0,0.42,0.34,0.16,0.13,0.76,0.29,2,3,4,9,82.6,50.6,61.0,4.5,11.5,6.2,a,fpl
461,p611665,Bazoumana Touré,Touré,Newcastle,Midfielder,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2,0.1,5.8,a,fpl
453,p201666,Harvey Barnes,Barnes,Newcastle,Midfielder,270,3,1.0,1.0,0.22,0.06,0.07,0.02,0.28,0.09,7,8,3,18,45.4,27.3,39.0,4.2,2.9,6.0,a,fpl
457,p114243,Jacob Murphy,J.Murphy,Newcastle,Midfielder,35,0,0.0,0.0,0.0,0.2,0.0,0.51,0.2,0.51,1,4,1,6,2.4,3.5,4.0,0.5,0.1,5.9,a,fpl
456,p232653,Jacob Ramsey,J.Ramsey,Newcastle,Midfielder,69,0,1.0,0.0,0.17,0.16,0.22,0.21,0.33,0.43,3,6,2,11,40.4,6.3,21.0,1.8,0.4,4.9,a,fpl
460,p200089,Joe Willock,Willock,Newcastle,Midfielder,166,2,1.0,0.0,0.52,0.2,0.28,0.11,0.72,0.39,2,3,3,8,44.4,20.4,28.0,2.8,0.5,5.0,a,fpl
458,p180974,Joelinton Cássio Apolinário de Lira,Joelinton,Newcastle,Midfielder,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.4,i,fpl
459,p547719,Lewis Miley,L.Miley,Newcastle,Midfielder,227,3,0.0,0.0,0.05,0.07,0.02,0.03,0.12,0.05,10,15,1,26,30.0,37.2,5.0,2.0,0.1,5.5,a,fpl
405,p465694,Nico González Iglesias,N.Gonzalez,Newcastle,Midfielder,146,2,0.0,0.0,0.0,0.21,0.0,0.13,0.21,0.13,3,8,0,11,13.4,41.9,2.0,1.0,0.3,5.5,a,fpl
462,p636852,Sean Steur,Steur,Newcastle,Midfielder,87,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,7,7.4,1.7,0.0,0.8,0.1,4.9,a,fpl
201,p247348,Daniel Muñoz Mejía,Muñoz,Nott'm Forest,Defender,175,2,0.0,0.0,0.48,0.19,0.25,0.1,0.67,0.35,6,5,6,12,3.6,2.6,25.0,0.8,5.5,5.4,a,fpl
470,p485047,Felipe Rodrigues da Silva,Morato,Nott'm Forest,Defender,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,u,fpl
474,p575458,Jair Paula da Cunha Filho,Jair Cunha,Nott'm Forest,Defender,270,3,0.0,0.0,0.03,0.01,0.01,0.0,0.04,0.01,23,5,5,28,55.4,2.4,1.0,2.5,0.2,4.5,d,fpl
478,p470315,Luca Netz,Netz,Nott'm Forest,Defender,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,2.0,0.9,0.0,0.5,0.0,4.4,a,fpl
472,p575476,Murillo Costa dos Santos,Murillo,Nott'm Forest,Defender,359,4,0.0,1.0,0.35,0.29,0.09,0.07,0.64,0.16,34,16,8,42,61.2,27.4,18.0,4.8,1.8,5.5,a,fpl
469,p215136,Neco Williams,N.Williams,Nott'm Forest,Defender,360,4,0.0,1.0,0.32,0.4,0.08,0.1,0.72,0.18,14,20,13,27,61.0,42.0,16.0,4.2,8.4,5.0,a,fpl
475,p500151,Nicolò Savona,Savona,Nott'm Forest,Defender,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.5,i,fpl
471,p227444,Nikola Milenković,Milenković,Nott'm Forest,Defender,270,3,0.0,0.0,0.11,0.03,0.04,0.01,0.14,0.05,26,12,5,31,53.2,1.4,16.0,3.0,1.5,5.5,d,fpl
473,p159506,Ola Aina,Aina,Nott'm Forest,Defender,306,4,0.0,0.0,0.04,0.53,0.01,0.16,0.57,0.17,12,14,10,22,40.8,51.6,15.0,2.0,2.6,4.5,a,fpl
476,p204822,Omar Richards,O.Richards,Nott'm Forest,Defender,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,4.0,a,fpl
581,p568420,Ousmane Diomande,Diomande,Nott'm Forest,Defender,91,1,0.0,0.0,0.11,0.0,0.11,0.0,0.11,0.11,13,3,1,14,0.0,0.0,0.0,1.2,0.5,5.4,a,fpl
479,p538638,Tyler Bindon,Bindon,Nott'm Forest,Defender,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,4.0,u,fpl
477,p549067,Zach Abbott,Abbott,Nott'm Forest,Defender,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,4.0,u,fpl
493,p465680,Arnaud Kalimuendo,Kalimuendo,Nott'm Forest,Forward,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2,0.1,5.4,a,fpl
490,p60689,Chris Wood,Wood,Nott'm Forest,Forward,45,0,0.0,0.0,0.12,0.01,0.24,0.02,0.13,0.26,0,1,0,1,0.2,2.5,3.0,0.8,1.0,5.8,a,fpl
491,p482973,Igor Jesus Maciel da Cruz,Igor Jesus,Nott'm Forest,Forward,226,2,1.0,0.0,1.09,0.07,0.43,0.03,1.16,0.46,5,5,2,12,15.0,20.5,69.0,2.8,2.5,5.8,a,fpl
167,p463034,Liam Delap,Delap,Nott'm Forest,Forward,187,2,1.0,0.0,0.76,0.14,0.37,0.07,0.9,0.44,3,5,1,9,6.4,30.9,12.0,2.0,1.3,5.5,a,fpl
468,p221389,John Victor Maciel Furtado,John,Nott'm Forest,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,4.5,a,fpl
467,p85633,Matz Sels,Sels,Nott'm Forest,Goalkeeper,360,4,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,6,37,0,0,33.2,0.0,0.0,3.0,1.5,5.0,a,fpl
590,p428971,Steven Benda,Benda,Nott'm Forest,Goalkeeper,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,4.5,a,fpl
482,p209046,Callum Hudson-Odoi,Hudson-Odoi,Nott'm Forest,Midfielder,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.3,0.0,0.2,0.2,5.8,a,fpl
483,p456512,Dan Ndoye,Ndoye,Nott'm Forest,Midfielder,258,4,1.0,0.0,1.05,0.88,0.37,0.31,1.93,0.68,2,15,2,19,37.6,25.8,36.0,3.5,0.7,5.5,a,fpl
485,p476887,Dilane Bakwa,Bakwa,Nott'm Forest,Midfielder,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.5,u,fpl
488,p210462,Ibrahim Sangaré,I.Sangaré,Nott'm Forest,Midfielder,98,1,0.0,0.0,0.09,0.02,0.08,0.02,0.11,0.1,4,3,1,8,17.8,13.0,3.0,0.8,0.5,4.9,a,fpl
486,p432714,James McAtee,McAtee,Nott'm Forest,Midfielder,334,4,0.0,0.0,0.16,0.92,0.04,0.25,1.08,0.29,8,19,8,35,34.0,120.5,10.0,2.5,0.1,5.5,a,fpl
480,p222531,Morgan Gibbs-White,Gibbs-White,Nott'm Forest,Midfielder,360,4,1.0,2.0,1.56,1.02,0.39,0.26,2.58,0.65,2,12,5,19,62.0,24.8,46.0,6.5,10.7,7.9,a,fpl
487,p250199,Nicolás Domínguez,Dominguez,Nott'm Forest,Midfielder,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.2,0.0,0.0,0.2,0.1,4.9,a,fpl
484,p503301,Omari Hutchinson,Hutchinson,Nott'm Forest,Midfielder,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,5.4,u,fpl
489,p204968,Ryan Yates,Yates,Nott'm Forest,Midfielder,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.3,4.5,a,fpl
558,p204561,Xaver Schlager,Schlager,Nott'm Forest,Midfielder,286,3,0.0,0.0,0.14,0.08,0.04,0.03,0.22,0.07,9,18,15,42,33.0,4.0,10.0,2.8,0.1,5.0,a,fpl
502,p122798,Andrew Robertson,Robertson,Spurs,Defender,276,3,0.0,0.0,0.13,0.17,0.04,0.06,0.3,0.1,14,8,3,17,49.0,36.3,27.0,3.2,2.7,4.4,a,fpl
507,p548308,Ashley Phillips,Phillips,Spurs,Defender,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.5,u,fpl
508,p115556,Ben Davies,Davies,Spurs,Defender,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.9,4.0,a,fpl
500,p221632,Cristian Romero,Romero,Spurs,Defender,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,5.0,u,fpl
506,p487053,Destiny Udogie,Udogie,Spurs,Defender,86,1,0.0,0.0,0.0,0.23,0.0,0.24,0.23,0.24,3,4,1,4,9.8,13.5,4.0,1.8,0.4,4.5,d,fpl
505,p232859,Djed Spence,Spence,Spurs,Defender,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.3,4.5,u,fpl
510,p499716,James Rowswell,Rowswell,Spurs,Defender,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,4.0,a,fpl
112,p469142,Jan Paul van Hecke,Van Hecke,Spurs,Defender,360,4,0.0,0.0,0.34,0.12,0.08,0.03,0.46,0.11,27,13,7,34,71.4,29.3,46.0,4.5,6.8,4.9,a,fpl
511,p616221,João Victor de Souza Menezes,Souza,Spurs,Defender,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,4.0,u,fpl
509,p640419,Jun'ai Byfield,Byfield,Spurs,Defender,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,4.0,a,fpl
498,p221466,Marcos Senesi Barón,Senesi,Spurs,Defender,90,1,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,11,2,5,16,36.6,2.2,0.0,0.8,4.1,5.8,a,fpl
503,p491279,Micky van de Ven,Van de Ven,Spurs,Defender,270,3,0.0,0.0,0.57,0.04,0.19,0.01,0.61,0.2,19,12,4,23,36.6,3.3,14.0,3.8,3.9,5.0,a,fpl
499,p441164,Pedro Porro Sauceda,Pedro Porro,Spurs,Defender,180,2,0.0,0.0,0.36,0.16,0.18,0.08,0.52,0.26,6,5,2,8,22.6,43.7,27.0,2.0,9.7,5.5,d,fpl
147,p109646,Tosin Adarabioyo,Tosin,Spurs,Defender,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,4,0.0,0.0,0.0,0.2,0.2,4.4,a,fpl
528,p490145,Dane Scarlett,Scarlett,Spurs,Forward,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.3,4.5,u,fpl
526,p154566,Dominic Solanke-Mitchell,Solanke,Spurs,Forward,105,1,0.0,0.0,0.44,0.01,0.38,0.01,0.45,0.39,1,2,0,3,3.2,0.6,15.0,1.2,0.9,5.9,a,fpl
